 1.66 -2.68 12.07 6.35 6.72 8.13 12.27 1.34 10.35 14.05 9.88 4.48 0.61 14.86 5.66 3.57 1.76 9.97 5.17 10.30 12.04 15.12 10.08 3.71 4.17 0.69 10.77 4.00 14.17 5.01
 1.69 -2.41 11.81 6.12 6.86 7.97 12.39 1.39 10.40 14.14 9.79 4.60 0.37 14.63 6.07 3.58 1.91 10.15 5.71 10.59 12.05 14.91 10.16 3.80 4.64 0.87 11.53 4.30 14.29 5.17
 1.65 -2.29 11.52 5.76 6.98 7.74 12.43 1.22 10.29 14.09 9.46 4.48 0.03 14.30 6.14 3.53 2.02 10.14 6.02 10.55 11.70 14.66 9.79 3.68 5.00 0.80 11.99 4.47 14.09 5.21
 1.34 -2.14 11.12 5.28 6.84 7.47 12.61 0.92 10.54 14.18 8.87 4.49 -0.54 13.95 6.23 3.37 1.90 10.07 6.39 10.66 11.54 14.73 9.58 3.53 5.57 0.73 12.67 4.67 14.04 5.36
 1.87 -1.66 11.15 5.33 7.25 7.60 12.97 1.25 10.89 14.59 8.91 4.91 -0.31 13.98 6.87 3.67 2.48 10.47 7.18 11.02 11.57 14.90 9.72 3.92 6.46 1.27 13.59 5.38 14.20 5.89
 1.98 -1.40 11.05 5.02 7.40 7.54 13.46 1.21 11.36 14.84 8.73 5.15 -0.38 13.89 7.37 3.70 2.79 10.61 8.05 11.41 11.64 15.22 9.81 4.09 7.38 1.63 14.39 6.00 14.63 6.40
 1.93 -1.33 10.91 4.68 7.33 7.36 13.87 1.10 11.77 15.12 8.49 5.26 -0.71 13.76 7.67 3.59 3.01 10.54 8.68 11.72 11.45 15.42 9.81 4.10 8.17 1.83 15.14 6.37 14.93 6.76
 2.52 -0.63 11.30 4.95 7.95 7.63 14.90 1.50 12.77 16.03 8.92 6.07 -0.29 14.28 8.84 4.10 3.83 11.25 10.29 12.68 11.98 16.36 10.45 4.84 9.73 2.77 16.49 7.53 16.02 7.81
 2.80 -0.20 11.53 4.83 8.25 7.86 15.91 1.71 13.66 16.73 9.08 6.69 -0.26 14.47 9.64 4.30 4.41 11.59 11.58 13.41 12.30 17.06 10.89 5.33 11.13 3.46 17.58 8.48 17.06 8.76
 3.51 0.79 12.11 5.26 8.73 8.35 17.18 2.38 15.07 17.84 9.64 7.83 0.44 15.40 10.85 5.08 5.55 12.27 13.33 14.53 12.98 18.23 11.66 6.33 12.87 4.68 18.75 9.75 18.43 10.16
 4.70 2.11 13.28 6.03 9.92 9.33 18.99 3.38 16.75 19.33 10.85 9.33 1.55 16.79 12.67 6.19 7.16 13.55 15.68 16.34 14.28 19.93 13.08 7.95 15.19 6.41 20.63 11.67 20.56 12.09
